game_title, genre, platforms, release_date, developers,metascore_rating
Waking Mars,Action|2D|General|Platformer,iOS|PC,Mar  1 2012,Tiger Style,84
AirAttack,Action|General,iOS,Jul 15 2010,Art in Games,84
868-HACK,Action|General,iOS|PC,Aug 30 2013,N/A,84
Radical Rappelling,Action|General,iOS,Jun  3 2015,Halfbrick Studios,84
Mikey Jumps,Action|2D|Platformer,iOS,Nov  9 2016,BeaverTap Games| LLC,84
Leo's Fortune,Action|2D|General|Platformer,iOS|PC|PlayStation 4|Xbox One,Apr 23 2014,1337 & Senri LLC,84
Paint it Back,Action|General|Logic|Puzzle,iOS|PC,Oct 17 2013,N/A,84
One Tap Hero,Action|2D|General|Platformer,iOS,Aug 23 2012,Chillingo Ltd| Chillingo| Coconut Island Games,84
Second Chance Heroes,Action|General,iOS|PC|PlayStation 4,Feb 17 2014,N/A,84
Immortal Rogue,Action|General,iOS,Feb 20 2019,Kyle Barrett,84
Detective Grimoire,Action|General|Point-and-Click|Adventure,iOS|PC,Jan  2 2014,SFB Games,83
Calculords,Action|General,iOS,Feb 21 2014,N/A,83
Lara Croft GO,General|Puzzle|Action|Strategy|Turn-Based,iOS|PC|PlayStation 4|PlayStation Vita,Aug 27 2015,Square Enix Montreal,83
Kosmo Spin,Action|General,iOS,Dec  2 2010,Simogo,83
Bucketz,Action|General,iOS,Jul 26 2012,Picnic Hippo Studios,83
Electric Tentacle,Action|General,iOS,Sep 27 2012,Chillingo Ltd| Chillingo,83
Type:Rider,Action|2D|General|Platformer,iOS|PC|PlayStation 4|PlayStation Vita|Switch,Oct 10 2013,N/A,83
Mr. Particle-Man,Action|General,iOS,Nov  5 2014,Michael Falk,83
Flop Rocket,Action|General,iOS,Feb 25 2015,Butterscotch Shenanigans| LLC| Butterscotch Shenanigans,83
Lines the Game,Action|General,iOS,Jun 18 2015,Gamious,83
Jetpack Fighter,Action|General,iOS,Jan  7 2016,Hi-Rez Studios,83
Bushido Bear,Action|General,iOS,May 11 2016,Spry Fox| LLC| Spry Fox,83
klocki,Puzzle|Action,iOS|PC,Jul 13 2016,Megabyte Bomb,83
Suicide Squad: Special Ops,Action|First-Person|Arcade|Shooter,iOS,Jul 14 2016,Warner Bros.,83
Total War Battles,Action|Strategy|General,iOS,Apr 19 2012,Sega,83
N.O.V.A. 3 - Near Orbit Vanguard Alliance,General|Action|Shooter|First-Person|Arcade,iOS,May 10 2012,Gameloft,83
Angry Birds Space,Puzzle|General|Action,iOS|PC,Mar 22 2012,Rovio Mobile| Rovio Entertainment,83
Tilt to Live 2: Redonkulous,Action|General,iOS,Nov 13 2013,N/A,83
Helix (2014),Action|General,iOS,Oct 16 2014,N/A,83
Hector: Badge of Carnage - Episode 1: We Negotiate With Terrorists,Role-Playing|General|Action|Action Adventure|Adventure,iOS|PC,Jun  2 2010,Straandlooper,83
Monster D.A.S.H,Miscellaneous|General|Puzzle,iOS,Mar 20 2014,Tobias Folprecht,83
Block Fortress,Action|General,iOS,Mar  7 2013,N/A,83
Shooty Skies - Endless Arcade Flyer,Action|General,iOS,Sep 29 2015,Mighty Games,83
Ziggurat,Action|General,iOS,Feb 17 2012,Action Button Entertainment,83
Fetch,Action|General,iOS|PC,Mar 21 2013,N/A,83
All is Lost,Action|2D|Platformer,iOS,Feb  3 2016,Foursaken Media,83
Silverfish,Action|General,iOS,Nov  9 2010,Chaotic Box,83
Bad Piggies,Puzzle|General|Action,iOS|PC,Sep 27 2012,Rovio Mobile| Rovio Entertainment,83
Cally's Caves 3,Action|2D|General|Platformer,iOS|PC,Jul 21 2015,Jordan Pearson,83
Polara,Action|2D|General|Platformer,iOS|3DS|PlayStation Vita,Oct 11 2012,Hope This Works Games Inc.,83
World of Tanks Blitz,Historic|Action|Third-Person|Shooter|Arcade,iOS|PC,Jun 27 2014,Wargaming.net,83
Driver,General|Action|Racing|Automobile|Mission-based|Driving|Arcade,iOS|PC,Dec  8 2009,Gameloft,83
Dinosaur Slayer,Action|General,iOS,Mar 17 2010,Project Soul,83
Astronut,Action|General,iOS,Nov 16 2010,The Iconfactory,83
Max Adventure,General|Shoot-'Em-Up|Top-Down|Action|Shooter|Adventure,iOS,Dec 14 2010,Imangi Studios| LLC,83
Solstice Arena,Action|Role-Playing|General|Massively Multiplayer,iOS|PC,May 23 2013,Zynga,83
OTTTD,General|Action|Strategy|Real-Time|Sci-Fi,iOS|PC|Switch,May 22 2014,SMG Studio,83
Zombie Highway 2,General|Action|Racing|Automobile|Arcade,iOS,Oct  9 2014,N/A,83
Sleep Attack TD,General|Defense|Action|Strategy|Real-Time,iOS|PC,Oct 23 2014,Ayopa Games LLC,83
Sneak Ops,Puzzle|Action,iOS,Aug  9 2018,Noodlecake Studios,83
Continuity 2: The Continuation,Action|General,iOS,Jun 23 2011,Ragtime Games LLC,83
Robokill - Rescue Titan Prime,Action|General,iOS,Nov  5 2010,Wandake,83
Crabitron,Action|General,iOS,Dec 30 2011,Two Lives Left,83
Bruce Lee: Dragon Warrior,Action|General|3D|Fighting,iOS,Apr  3 2010,Indiagames,83
iBomber Defense,General|Defense|Action|Strategy|Real-Time,iOS|PC|PlayStation Vita,Nov 18 2010,Chillingo Ltd| Chillingo,83
Anodia,Action|General,iOS,May 19 2011,Clueless Little Muffin,83
Asphalt 7: Heat,General|Action|Racing|Automobile|Arcade,iOS|PC,Jun 21 2012,Gameloft,83
Tic Tactics,Action|General|Board / Card Game|Miscellaneous,iOS,Nov 20 2013,Hidden Variable Studios,83
Platforms Unlimited,Action|General,iOS,Feb  4 2014,XperimentalZ Games,83
BattleLore: Command,Action|General|Board / Card Game|Miscellaneous,iOS|PC,Nov 25 2014,Fantasy Flight Games,83
Staying Together,Action|General,iOS,Feb 12 2015,Naquatic LLC,83
The Quest Keeper,Action|General,iOS,Mar 31 2015,Tyson Ibele,83
One More Dash,Action|General,iOS,May 27 2015,SMG Studio,83
SongPop 2,Action|General,iOS,Jul 16 2015,FreshPlanet Inc.,83
Major Magnet,Action|General,iOS,Feb 21 2013,N/A,83
Radiant Defense,General|Defense|Action|Strategy|Real-Time,iOS|PC,Apr 17 2012,Hexage.net| Hexage,83
Earthcore: Shattered Elements - Epic Card Battle Game (TCG),Action|General,iOS,May 20 2015,Tequila Games Sp. z o.o.,83
Kingdom Rush Origins HD,General|Defense|Action|Strategy|Real-Time,iOS,Nov 19 2014,Ironhide Game Studio,83
They Need To Be Fed,Action|2D|General|Platformer,iOS,Nov 17 2010,YoYo Games Ltd.| Jesse Venbrux| YoYo Games,83
Zombie Infection,General|Action|Third-Person|Shooter|Adventure|Arcade,iOS,May 10 2010,Gameloft,83
Sky Force 2014,General|Shoot-'Em-Up|Scrolling|Action|Shooter|Vertical,iOS,Jun  5 2014,Infinite Dreams Inc.,83
Early Bird,Action|General,iOS,Aug 25 2011,Booyah| Inc.,83
Bee Leader,Action|General,iOS,May 24 2012,Flightless,83
Feast or Famine,Action|General,iOS,Feb  6 2013,X4 Games,83
Walking Dead: The Game - Season 2,Action|General,iOS,Dec 17 2013,N/A,83
Dead Space for iPad,General|Action|Sci-Fi|Third-Person|Shooter|Adventure|Arcade,iOS,Jan 25 2011,Iron Monkey,83
Eliminate Pro,Action|General,iOS,Oct 30 2009,ngmoco,83
It's Full of Sparks,Puzzle|Action,iOS,Jan 18 2018,Noodlecake Studios,83
Dojo Slash,Action|General,iOS,Nov  7 2014,Jin Man Kim,83
Junk Jack X,Action|Action Adventure|General|Sandbox,iOS,Aug 29 2013,Pixbits SRL,83
Darkside (2012),Action|General,iOS,Jun 26 2012,Clockwork Pixels,83
Bardbarian,General|Defense|Action|Strategy|Real-Time,iOS|PC,Jan 16 2014,TreeFortress Games,83
Land-a Panda HD,Action|General,iOS,Mar 10 2011,Big Pixel Studios,83
Shake Spears!,Action|General,iOS|PlayStation 3|PlayStation Vita,Jul 14 2011,Alawar Entertainment| Inc| Alawar Entertainment,83
Terra Noctis,General|Platformer|Action|2D|Adventure,iOS,Dec 20 2011,Fire Fruit Forge,83
Quell Memento,Miscellaneous|General|Logic|Action|Puzzle,iOS|3DS|PC|PlayStation Vita,May 23 2013,Bulkypix,83
Star Thief,Action|General,iOS,Jun 14 2013,N/A,83
Yomi,Miscellaneous|General|Action|Strategy|Turn-Based|Card Battle,iOS|PC,Apr 17 2014,Sirlin Games,83
Almightree: The Last Dreamer,Action|General,iOS|PC|Switch,Aug 28 2014,N/A,83
RGB Express - Mini Truck Puzzle,Action|General,iOS,Sep 25 2014,N/A,83
Reckless Racing 3,General|Action|Racing|Automobile|Arcade,iOS,Oct  9 2014,Pixelbite,83
Pair Solitaire,Action|General|Board / Card Game|Miscellaneous,iOS,Nov 20 2014,Gamer Delights,83
Star Wars Rebels: Recon Missions,Action|General,iOS,Mar 25 2015,Disney Interactive Studios,83
Loot & Legends,Action|General,iOS,Aug  6 2015,DropForge Games,83
Circa Infinity,Action|2D|Platformer,iOS|PC,Jan 28 2016,Kenny Sun,83
Space Marshals,Top-Down|General|Shoot-'Em-Up|Action|Shooter,iOS,Jan  8 2015,Pixelbite,82
Ninjatown: Trees Of Doom!,Action|General,iOS,May  5 2010,Venan Entertainment| Inc.,82
Collision Effect,Puzzle|General|Action,iOS,Mar  3 2011,Chillingo Ltd| Chillingo,82
The King of Fighters-i 002,Action|2D|Fighting,iOS,Jul  7 2011,SNK Playmore,82
Run Roo Run,General|Platformer|Action|2D|Adventure,iOS,Jan 12 2012,5TH Cell,82
Dynamite Jack,Action|2D|Platformer,iOS|PC,May 10 2012,Hassey Enterprises| Inc.,82
Redungeon,Action|General,iOS,Jun 22 2016,Nitrome,82
DropMix,Miscellaneous|Action|Rhythm|Music|Board / Card Game,iOS,Sep 20 2017,Harmonix Music Systems,82
Alive 4-ever RETURNS,Action|General,iOS,Apr 27 2010,Meridian,82
Zoombies: Animales de la Muerte!,Action|General,iOS,May  2 2013,High Voltage Software,82
Bring Me Sandwiches!!,Action|General,iOS,Oct 20 2011,Adult Swim,82
Terraria,General|Platformer|Action|Action Adventure|2D|Sandbox,iOS|3DS|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Switch|Wii U|Xbox 360|Xbox One,Aug 29 2013,Codeglue,82
The Incident,Action|General,iOS,Aug 10 2010,Big Bucket Software,82
Fates Forever,Action|General,iOS,Jul  2 2014,N/A,82
CRUSH!,Action|General,iOS,Jun 13 2013,N/A,82
Foodies,Action|General,iOS,May  5 2011,Nano Titans,82
Super Crossfire HD,Action|General,iOS,Oct 12 2011,Chillingo Ltd| Chillingo,82
Sword of Xolan,Action|2D|General|Platformer,iOS,May 21 2015,ALPER SARIKAYA,82
Strikefleet Omega,General|Defense|Action|Strategy|Real-Time,iOS,May 11 2012,6waves Lolapps,82
Sigma,Action|General,iOS,May 30 2010,BigStack Studios,82
Syder Arcade HD,Top-Down|General|Shoot-'Em-Up|Action|Shooter,iOS|PC,Jan 28 2013,N/A,82
Monster Mayhem,Action|General,iOS,May  5 2010,Chillingo Ltd| Chillingo,82
Axe in Face,Action|General,iOS,Sep 14 2010,Blue Carrot Games,82
Heroes and Castles,General|Defense|Action|Strategy|Real-Time,iOS,Jan 17 2013,Foursaken Media,82
To-Fu: The Trials of Chi,Miscellaneous|Action|Puzzle,iOS,May 26 2011,HotGen Ltd.,82
Call of Champions,Action|General,iOS,Sep 15 2015,Spacetime Studios| LLC,82
Tom Clancy's H.A.W.X,General|Action|Combat|Simulation|Flight,iOS|PC|PlayStation 3|Xbox 360,Dec  9 2009,Gameloft,82
PlayerUnknown's Battlegrounds Mobile,Action|First-Person|Tactical|Shooter,iOS|PC|PlayStation 4|Xbox One,Mar 19 2018,PUBG Corporation,82
Tiny Troopers 2: Special Ops,Top-Down|General|Shoot-'Em-Up|Action|Shooter,iOS|PC,Mar 28 2013,Chillingo Ltd| Kukouri Mobile Entertainment| Chillingo,82
Seal Force,Action|General,iOS,Dec 15 2011,Tactile Entertainment| Nordisk Film Games Publishing,82
Bobbing,Action|General,iOS,Mar 12 2013,N/A,82
Twisty Hollow,Action|General,iOS,Oct 29 2014,Arkadium,82
