game_title, genre, platforms, release_date, developers,metascore_rating
Super Mario World: Super Mario Advance 2,Platformer|2D|Action,Game Boy Advance,Feb  9 2002,Nintendo,92
Super Smash Bros. Melee,Fighting|Action|3D,GameCube,Dec  2 2001,HAL Labs,92
Papa Sangre II,General|Puzzle|Miscellaneous|Action,iOS,Oct 31 2013,N/A,92
Table Tennis Touch,Action|Other|Sports|General|Individual,iOS,May 15 2014,Yakuto,92
Alto's Adventure,Platformer|General|2D|Action,iOS|PC,Feb 19 2015,Snowman,92
Super Mario Sunshine,Platformer|Action|3D,GameCube,Aug 25 2002,Nintendo,92
SoulCalibur II,Fighting|Action|3D,Xbox|PlayStation 2,Aug 27 2003,Namco,92
Tiny Wings HD,General|Action,iOS,Jul 12 2012,Andreas Illiger,92
The Swapper,Platformer|2D|Action,Xbox One|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U,Jun  5 2015,Facepalm Games,92
Unreal Tournament (1999),Action|First-Person|Arcade|Sci-Fi|Shooter,PC,Nov 30 1999,Epic Games,92
Super Smash Bros. for Wii U,Fighting|2D|Action|3D,Wii U|3DS,Nov 21 2014,Bandai Namco Games,92
